p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
4.1925,0.14507,0.00014455,0.00053578,0.10547,1.283,0.12301,0.033074,2.7092,1.0,0.33068,0.38819,2.7582,0.20742,0.0051363,2.3129,1.0,3.085,3.7459,2.1186,0.16913,0.48946,3.0088,1.0,0.85446,0.0038295,2.256,1.4807,0.00031943,1.7151,1.0,2.5484
,3.2033,0.073563,0.0017264,0.00035754,0.70188,2.1618,5.5639,0.49072,2.5657,1.0,0.13261,0.25229,1.1139,0.014706,0.0097795,2.9101,1.0,3.7218,4.9294,1.0999,0.030877,0.0027393,2.8527,1.0,0.3347,0.63333,2.7322,0.037694,0.49946,0.34172,1.0,3.4678
,1.3955,0.37839,0.48667,0.00019426,3.4285,1.5007,3.3939,0.041705,2.2023,1.0,3.3804,0.096881,2.0373,0.063372,0.00036323,3.1737,1.0,2.8468,4.9822,1.0505,0.019376,0.14383,2.6491,1.0,2.1015,0.001491,1.4484,0.011814,0.00031586,1.1992,1.0,1.9094
,2.7662,0.00025164,0.02267,0.00040469,4.0371,1.9437,0.9916,0.15715,0.47752,1.0,2.3064,2.4277,2.8623,0.011025,0.00078184,2.5043,1.0,2.2939,1.1767,1.5307,1.952,0.37355,2.7792,1.0,3.1015,1.8544,1.4109,0.55555,0.0063229,3.4145,1.0,0.76804
,0.70304,0.3026,2.5994,0.00017269,0.89501,1.1313,0.91953,0.00075966,0.52039,1.0,1.6381,0.29562,2.5255,0.17473,0.00010456,1.7393,1.0,1.99,2.4785,1.6521,0.022172,0.092982,2.1452,1.0,0.094566,0.21396,1.7376,0.48586,0.09169,2.1007,1.0,3.1381
,3.2068,0.00051638,3.3342,0.00025351,2.627,1.2165,7.4705,0.00015847,2.4344,1.0,0.3317,0.41144,2.988,0.088921,0.00079543,1.4235,1.0,2.7879,3.3392,2.7564,0.22341,0.79301,2.896,1.0,0.16424,0.11623,1.9839,0.010014,0.045596,0.52656,1.0,4.0676
,0.61693,0.025149,4.166,0.00044246,0.57913,1.7357,0.27488,0.41827,1.9925,1.0,1.2043,0.22318,2.0661,0.04538,0.012831,3.4252,1.0,3.0427,2.8288,2.8779,0.48658,0.00034278,1.7803,1.0,2.7036,0.098902,2.0807,0.023481,0.0027137,1.3206,1.0,3.9578
,0.34088,0.00017706,0.013367,0.00089765,0.004227,2.615,0.012768,0.0030863,3.4154,1.0,4.159,0.25147,1.4289,0.03101,0.0092764,1.481,1.0,1.317,3.8616,2.3301,0.011246,0.00057479,3.0224,1.0,1.6392,0.55319,2.4428,0.116,0.15614,1.8252,1.0,4.9242
,0.31003,0.00010208,0.24234,0.00056594,0.0011454,1.6284,3.2122,0.00039133,2.3884,1.0,0.74971,0.23851,2.4766,0.0307,0.00069937,2.0476,1.0,4.4136,0.42987,1.1014,1.0,0.0063234,2.4509,1.0,1.8002,3.3472,2.1291,2.7365,0.025627,2.6024,1.0,2.9897
,3.8152,0.012039,0.095881,0.00017349,0.40684,1.3949,0.24964,0.00013054,3.4514,1.0,1.4843,0.24373,2.3007,0.077571,0.0065723,2.1908,1.0,2.5974,4.8386,1.0737,0.30819,0.0058338,1.4546,1.0,1.3469,1.793,2.8394,0.087069,0.0012613,3.0204,1.0,2.998
,0.10978,0.0069715,0.0063204,0.00051119,0.20086,2.7655,0.23315,0.00053838,2.9303,1.0,1.0652,0.47686,1.4232,0.017582,0.00091232,3.4395,1.0,2.0198,1.5498,2.4227,0.40745,0.00012088,2.9965,1.0,4.249,0.67367,1.2315,1.9438,0.043384,0.54556,1.0,1.673
